"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"brglm","brglm","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.6.2",NA,"R (>= 2.6.0), profileModel",NA,NA,"MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.3"
"broom","broom","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.5.2",NA,"R (>= 3.1)","backports, dplyr, generics (>= 0.0.2), methods, nlme, purrr,
reshape2, stringr, tibble, tidyr",NA,"AER, akima, AUC, bbmle, betareg, biglm, binGroup, boot, brms,
btergm, car, caret, coda, covr, e1071, emmeans, ergm, gam (>=
1.15), gamlss, gamlss.data, gamlss.dist, geepack, ggplot2,
glmnet, gmm, Hmisc, irlba, joineRML, Kendall, knitr, ks,
Lahman, lavaan, lfe, lme4, lmodel2, lmtest, lsmeans, maps,
maptools, MASS, Matrix, mclust, mgcv, muhaz, multcomp, network,
nnet, orcutt (>= 2.2), ordinal, plm, plyr, poLCA, psych,
quantreg, rgeos, rmarkdown, robust, rsample, rstan, rstanarm,
sp, speedglm, statnet.common, survey, survival, testthat,
tseries, xergm, zoo",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.3"
"C50","C50","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.1.2",NA,"R (>= 2.10.0)","partykit, Cubist (>= 0.2.1)",NA,"recipes, knitr",NA,"GPL-3",NA,NA,NA,NA,"yes","3.5.3"
"Cairo","Cairo","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.5-10",NA,"R (>= 2.4.0)","grDevices, graphics",NA,"png","FastRWeb","GPL-2",NA,NA,NA,NA,"yes","3.5.3"
"callr","callr","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","3.3.1",NA,NA,"processx (>= 3.4.0), R6, utils",NA,"cliapp, covr, crayon, knitr, pingr, ps, rmarkdown, rprojroot,
spelling, testthat, tibble, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.3"
"caret","caret","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","6.0-84",NA,"R (>= 3.2.0), lattice (>= 0.20), ggplot2","foreach, methods, plyr, ModelMetrics (>= 1.1.0), nlme,
reshape2, stats, stats4, utils, grDevices, recipes (>= 0.1.4),
withr (>= 2.0.0)",NA,"BradleyTerry2, e1071, earth (>= 2.2-3), fastICA, gam (>=
1.15), ipred, kernlab, knitr, klaR, MASS, ellipse, mda, mgcv,
mlbench, MLmetrics, nnet, party (>= 0.9-99992), pls, pROC,
proxy, randomForest, RANN, spls, subselect, pamr, superpc,
Cubist, testthat (>= 0.9.1), rpart, dplyr",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.3"
"cartogram","cartogram","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.1.1",NA,NA,"rgeos, sp, methods, sf, packcircles",NA,"rgdal, maptools",NA,"GPL-3",NA,NA,NA,NA,"no","3.5.3"
"caTools","caTools","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.17.1.2",NA,"R (>= 2.2.0)","bitops",NA,"MASS, rpart",NA,"GPL-3",NA,NA,NA,NA,"yes","3.5.3"
"cellranger","cellranger","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.1.0",NA,"R (>= 3.0.0)","rematch, tibble",NA,"covr, testthat (>= 1.0.0), knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.3"
"checkmate","checkmate","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.9.4",NA,"R (>= 3.0.0)","backports (>= 1.1.0), utils",NA,"R6, bit, fastmatch, data.table (>= 1.9.8), devtools, ggplot2,
knitr, magrittr, microbenchmark, rmarkdown, testthat (>=
0.11.0), tibble",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","3.5.3"
"chron","chron","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","2.3-53",NA,"R (>= 2.12.0)","graphics, stats",NA,"scales, ggplot2","zoo","GPL-2",NA,NA,NA,NA,"yes","3.5.3"
"classInt","classInt","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.3-3",NA,"R (>= 2.2)","grDevices, stats, graphics, e1071, class, KernSmooth",NA,"spData (>= 0.2.6.2)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.3"
"cli","cli","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.1.0",NA,"R (>= 2.10)","assertthat, crayon (>= 1.3.4), methods, utils",NA,"covr, fansi, mockery, testthat, webshot, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.3"
"clipr","clipr","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.6.0",NA,NA,"utils",NA,"covr, knitr, rmarkdown, rstudioapi (>= 0.5), testthat (>=
2.0.0)",NA,"GPL-3",NA,NA,NA,NA,"no","3.5.3"
"clisymbols","clisymbols","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.2.0",NA,NA,NA,NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.3"
"cluster","cluster","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","2.1.0","recommended","R (>= 3.3.0)","graphics, grDevices, stats, utils",NA,"MASS, Matrix",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.3"
"coin","coin","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.3-0",NA,"R (>= 3.4.0), survival","methods, parallel, stats, stats4, utils, libcoin (>= 1.0-0),
matrixStats (>= 0.54.0), modeltools (>= 0.2-9), mvtnorm (>=
1.0-5), multcomp","libcoin (>= 1.0-0)","xtable, e1071, vcd, TH.data (>= 1.0-7)",NA,"GPL-2",NA,NA,NA,NA,"yes","3.5.3"
"colorspace","colorspace","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.4-1",NA,"R (>= 3.0.0), methods","graphics, grDevices, stats",NA,"datasets, utils, KernSmooth, MASS, kernlab, mvtnorm, vcd,
tcltk, shiny, shinyjs, ggplot2, dplyr, scales, grid, png, jpeg,
knitr, rmarkdown, RColorBrewer, rcartocolor, scico, viridis,
wesanderson",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","3.5.3"
"colourpicker","colourpicker","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.0",NA,"R (>= 3.1.0)","ggplot2, htmltools, htmlwidgets (>= 0.7), jsonlite, miniUI (>=
0.1.1), shiny (>= 0.11.1), shinyjs, utils",NA,"knitr (>= 1.7), rmarkdown, rstudioapi (>= 0.5)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.3"
"combinat","combinat","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.0-8",NA,NA,NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,NA,"3.5.2"
"commonmark","commonmark","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.7",NA,NA,NA,NA,"curl, testthat, xml2",NA,"BSD_2_clause + file LICENSE",NA,NA,NA,NA,"yes","3.5.3"
"config","config","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.3",NA,NA,"yaml (>= 2.1.13)",NA,"testthat, knitr",NA,"GPL-3",NA,NA,NA,NA,"no","3.5.3"
"copula","copula","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.999-19.1",NA,"R (>= 3.1.0)","stats, graphics, methods, stats4, Matrix, lattice, colorspace,
gsl, ADGofTest, stabledist (>= 0.6-4), mvtnorm, pcaPP, pspline,
numDeriv",NA,"MASS, KernSmooth, sfsmisc, scatterplot3d, Rmpfr, bbmle,
knitr, abind, crop, gridExtra, lcopula, mev, mvnormtest,
parallel, partitions, polynom, qrng, randtoolbox, rugarch,
Runuran, tseries, VGAM, VineCopula, zoo","nor1mix, copulaData","GPL (>= 3) | file LICENCE",NA,NA,NA,NA,"yes","3.5.3"
"copypaste","copypaste","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.0.0",NA,"R (>= 3.1.0)","",NA,NA,NA,"GPL-3",NA,NA,NA,NA,NA,"3.5.3"
"corpcor","corpcor","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.6.9",NA,"R (>= 3.0.2)","stats",NA,"",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","3.5.2"
"corrplot","corrplot","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.84",NA,NA,NA,NA,"knitr, RColorBrewer, testthat",NA,"GPL",NA,NA,NA,NA,"no","3.5.3"
"covr","covr","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","3.2.1",NA,"R (>= 3.1.0), methods","digest, stats, utils, jsonlite, rex, httr, crayon, withr (>=
1.0.2)",NA,"R6, knitr, rmarkdown, htmltools, DT (>= 0.2), testthat,
rstudioapi (>= 0.2), xml2 (>= 1.0.0), parallel, memoise,
mockery",NA,"GPL-3",NA,NA,NA,NA,"yes","3.5.3"
"cowplot","cowplot","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.0.0",NA,"R (>= 3.5.0)","ggplot2 (> 2.2.1), grid, gtable, grDevices, methods, rlang,
scales, utils",NA,"Cairo, covr, dplyr, forcats, gridGraphics (>= 0.4-0), knitr,
lattice, magick, maps, PASWR, rmarkdown, testthat (>= 1.0.0),
tidyr, vdiffr (>= 0.3.0), VennDiagram",NA,"GPL-2",NA,NA,NA,NA,"no","3.5.3"
"crayon","crayon","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.3.4",NA,NA,"grDevices, methods, utils",NA,"mockery, rstudioapi, testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.3"
"crosstalk","crosstalk","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.0.0",NA,NA,"htmltools (>= 0.3.5), jsonlite, lazyeval, R6, shiny (>= 0.11),
ggplot2",NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.3"
"Cubist","Cubist","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.2.2",NA,"lattice","reshape2",NA,"mlbench, caret, knitr",NA,"GPL-3",NA,NA,NA,NA,"yes","3.5.3"
"curl","curl","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","4.0",NA,"R (>= 3.0.0)",NA,NA,"askpass, spelling, testthat (>= 1.0.0), knitr, jsonlite,
rmarkdown, magrittr, httpuv (>= 1.4.4), webutils",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.5.3"
"data.table","data.table","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.12.2",NA,"R (>= 3.1.0)","methods",NA,"bit64, curl, R.utils, knitr, xts, nanotime, zoo",NA,"MPL-2.0 | file LICENSE",NA,NA,NA,NA,"yes","3.5.3"
"DBI","DBI","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.0.0",NA,"R (>= 3.0.0), methods",NA,NA,"blob, covr, hms, knitr, magrittr, rprojroot, rmarkdown,
RSQLite (>= 1.1-2), testthat, xml2",NA,"LGPL (>= 2)",NA,NA,NA,NA,"no","3.5.3"
"dbplyr","dbplyr","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.4.2",NA,"R (>= 3.1)","assertthat (>= 0.2.0), DBI (>= 1.0.0), dplyr (>= 0.8.0), glue
(>= 1.2.0), methods, purrr (>= 0.2.5), R6 (>= 2.2.2), rlang (>=
0.2.0), tibble (>= 1.4.2), tidyselect (>= 0.2.4), utils",NA,"bit64, covr, knitr, Lahman, nycflights13, RMariaDB (>=
1.0.2), rmarkdown, RMySQL (>= 0.10.11), RPostgreSQL (>= 0.4.1),
RSQLite (>= 2.1.0), testthat (>= 2.0.0), withr (>= 2.1.2)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.3"
"deldir","deldir","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.1-22",NA,"R (>= 0.99)","graphics, grDevices",NA,"polyclip",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.3"
"DEoptimR","DEoptimR","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.0-8",NA,NA,"stats",NA,NA,"robustbase","GPL (>= 2)",NA,NA,NA,NA,"no","3.5.2"
"desc","desc","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.2.0",NA,"R (>= 3.1.0)","assertthat, utils, R6, crayon, rprojroot",NA,"covr, testthat, whoami, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.3"
"devtools","devtools","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","2.1.0",NA,"R (>= 3.0.2), usethis (>= 1.5.0)","callr, cli, digest, git2r (>= 0.23.0), httr (>= 0.4),
jsonlite, memoise (>= 1.0.0), pkgbuild (>= 1.0.3), pkgload (>=
1.0.2), rcmdcheck (>= 1.3.3), remotes (>= 2.1.0), roxygen2 (>=
6.1.1), rstudioapi (>= 0.7), sessioninfo (>= 1.1.1), stats,
testthat (>= 2.1.1), tools, utils, withr",NA,"BiocManager, bitops, covr (>= 3.2.0), crayon, curl (>= 0.9),
evaluate, foghorn (>= 1.1.0), gmailr (> 0.7.0), knitr, lintr
(>= 0.2.1), mockery, pingr, MASS, pkgdown, Rcpp (>= 0.10.0),
rhub (>= 1.0.2), rmarkdown, rversions, spelling (>= 1.1),
whisker",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.3"
"dichromat","dichromat","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","2.0-0",NA,"R (>= 2.10), stats",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,NA,"3.5.2"
"diffobj","diffobj","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.2.3",NA,"R (>= 3.1.0)","crayon (>= 1.3.2), tools, methods, utils, stats",NA,"knitr, rmarkdown, testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.3"
"digest","digest","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.6.20",NA,"R (>= 3.1.0)",NA,NA,"tinytest, knitr, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.3"
"distr","distr","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","2.8.0",NA,"R(>= 2.14.0), methods, graphics, startupmsg, sfsmisc","stats, grDevices, utils, MASS",NA,"distrEx, svUnit (>= 0.7-11), knitr",NA,"LGPL-3",NA,NA,NA,NA,"yes","3.5.3"
"DISTRIB","DISTRIB","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.0",NA,NA,NA,NA,NA,NA,"LGPL (>= 3)",NA,NA,NA,NA,"no","3.5.2"
"DistributionUtils","DistributionUtils","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.6-0",NA,"R (>= 3.0.1)",NA,NA,"GeneralizedHyperbolic, VarianceGamma, SkewHyperbolic, RUnit",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.3"
"doParallel","doParallel","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.0.14",NA,"R (>= 2.14.0), foreach(>= 1.2.0), iterators(>= 1.0.0),
parallel, utils",NA,NA,"caret, mlbench, rpart, RUnit","compiler","GPL-2",NA,NA,NA,NA,"no","3.5.3"
"dplyr","dplyr","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.8.3",NA,"R (>= 3.2.0)","assertthat (>= 0.2.0), glue (>= 1.3.0), magrittr (>= 1.5),
methods, pkgconfig, R6, Rcpp (>= 1.0.1), rlang (>= 0.4.0),
tibble (>= 2.0.0), tidyselect (>= 0.2.5), utils","BH, plogr (>= 0.2.0), Rcpp (>= 1.0.1)","bit64, callr, covr, crayon (>= 1.3.4), DBI, dbplyr, dtplyr,
ggplot2, hms, knitr, Lahman, lubridate, MASS, mgcv,
microbenchmark, nycflights13, rmarkdown, RMySQL, RPostgreSQL,
RSQLite, testthat, withr, broom, purrr, readr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.5.3"
"DT","DT","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.7",NA,NA,"htmltools (>= 0.3.6), htmlwidgets (>= 1.3), magrittr,
crosstalk, promises",NA,"jsonlite (>= 0.9.16), knitr (>= 1.8), rmarkdown, shiny (>=
1.1.0)",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","3.5.3"
"dtplyr","dtplyr","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.0.3",NA,NA,"dplyr (>= 0.5.0), data.table (>= 1.9.6), lazyeval, rlang",NA,"Lahman, nycflights13, testthat, covr",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.3"
"e1071","e1071","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.7-2",NA,NA,"graphics, grDevices, class, stats, methods, utils",NA,"cluster, mlbench, nnet, randomForest, rpart, SparseM, xtable,
Matrix, MASS, slam",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","3.5.3"
"earth","earth","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","5.1.1",NA,"R (>= 3.4.0), Formula (>= 1.2-3), plotmo (>= 3.5.4),
TeachingDemos (>= 2.10)",NA,NA,"gam (>= 1.16), mgcv (>= 1.8-26), mda (>= 0.4-10), MASS (>=
7.3-51)",NA,"GPL-3",NA,NA,NA,NA,"yes","3.5.3"
"ellipse","ellipse","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.4.1",NA,"R (>= 2.0.0),graphics,stats",NA,NA,"MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.3"
"ellipsis","ellipsis","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.2.0.1",NA,"R (>= 3.1)","rlang (>= 0.3.0)",NA,"covr, testthat",NA,"GPL-3",NA,NA,NA,NA,"yes","3.5.3"
"evaluate","evaluate","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.14",NA,"R (>= 3.0.2)","methods",NA,"testthat, lattice, ggplot2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.3"
"expint","expint","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.1-5",NA,"R (>= 3.3.0)",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.2"
"expm","expm","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.999-4",NA,"Matrix","methods",NA,"RColorBrewer, sfsmisc, Rmpfr",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.3"
"expsmooth","expsmooth","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","2.3",NA,"R (>= 2.0.0), forecast",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.3"
"extraDistr","extraDistr","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.8.11",NA,"R (>= 3.1.0)","Rcpp","Rcpp","testthat, LaplacesDemon, VGAM, evd, hoa, skellam, triangle,
actuar",NA,"GPL-2",NA,NA,NA,NA,"yes","3.5.3"
"extrafont","extrafont","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.17",NA,"R (>= 2.15)","extrafontdb, grDevices, utils, Rttf2pt1",NA,"fontcm",NA,"GPL-2",NA,NA,NA,NA,"no","3.5.2"
"extrafontdb","extrafontdb","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.0",NA,"R (>= 2.14)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,NA,"3.5.2"
"fansi","fansi","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.4.0",NA,"R (>= 3.1.0)",NA,NA,"unitizer, knitr, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.3"
"fastICA","fastICA","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.2-2",NA,"R (>= 3.0.0)",NA,NA,"MASS",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","3.5.3"
"fastmatch","fastmatch","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.1-0",NA,NA,NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","3.5.2"
"fBasics","fBasics","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","3042.89",NA,"R (>= 2.15.1), timeDate, timeSeries","stats, grDevices, graphics, methods, utils, MASS, spatial,
gss, stabledist",NA,"akima, RUnit, tcltk",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.3"
"ff","ff","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","2.2-14",NA,"R (>= 2.10.1), bit (>= 1.1-13), utils",NA,NA,"biglm",NA,"GPL-2 | file LICENSE",NA,NA,NA,NA,"yes","3.5.3"
"ffbase","ffbase","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.12.7",NA,"R (>= 2.12.0),ff(>= 2.2-11)","fastmatch, bit",NA,"testthat, parallel, LaF, biglm",NA,"GPL-3",NA,NA,NA,NA,"yes","3.5.3"
"fitdistrplus","fitdistrplus","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.0-14",NA,"R (>= 3.2.0), MASS, grDevices, survival, methods, npsurv","stats",NA,"actuar, rgenoud, mc2d, gamlss.dist, knitr, knitcitations,
ggplot2, GeneralizedHyperbolic",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.3"
"FitUlt","FitUlt","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.1.0",NA,"R (>= 3.2.0)","ADGofTest, fitdistrplus, assertthat, MASS, purrr, ggplot2, cowplot, mclust, methods, stats",NA,NA,NA,"GPL-3",NA,NA,NA,NA,NA,"3.5.3"
"FitUltD","FitUltD","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","3.0.0",NA,"R (>= 3.2.0), mclust","ADGofTest, fitdistrplus, assertthat, MASS, purrr, ggplot2,
cowplot, methods, stats",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","3.5.3"
"flexdashboard","flexdashboard","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.5.1.1",NA,"R (>= 3.0.2)","tools, jsonlite, htmltools, knitr (>= 1.13), htmlwidgets (>=
0.6), rmarkdown (>= 1.0), shiny (>= 0.13)",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.3"
"fontBitstreamVera","fontBitstreamVera","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.1.1",NA,"R (>= 3.0.0)",NA,NA,NA,NA,"file LICENCE","yes",NA,NA,NA,"no","3.5.2"
"fontLiberation","fontLiberation","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.1.0",NA,"R (>= 3.0)",NA,NA,NA,NA,"file LICENSE",NA,NA,NA,NA,"no","3.5.2"
